depth	min	max	median	mean
0	-100	-61	-92	-89
1	-98	-57	-88	-85
2	-96	-54	-84	-81
3	-95	-49	-80	-78
4	-94	-43	-76	-74
5	-93	-33	-73	-70
6	-89	-30	-69	-67
7	-86	-27	-65	-63
8	-84	-22	-61	-59
9	-82	-15	-58	-56
10	-80	-8	-54	-52
11	-73	-4	-51	-48
12	-68	1	-47	-43
13	-64	6	-42	-39
14	-60	13	-38	-34
15	-58	22	-34	-30
16	-44	69	-5	0
17	-37	151	20	30
18	-33	236	44	59
19	-28	323	68	89
20	-24	408	93	119
21	-5	441	125	150
22	6	476	158	182
23	13	534	190	213
24	20	591	222	244
25	28	671	248	275
26	55	690	276	302
27	74	710	303	329
28	89	735	332	356
29	104	773	361	383
30	115	810	386	410
31	141	829	418	438
32	165	845	450	466
33	186	871	481	494
34	205	902	508	522
35	220	948	535	549
36	249	965	566	580
37	274	986	598	610
38	298	1008	629	640
39	315	1045	660	670
40	327	1077	694	700
41	369	1098	722	728
42	394	1119	752	756
43	423	1141	784	784
44	443	1170	811	812
45	461	1200	841	840
46	494	1221	869	867
47	529	1240	898	895
48	549	1260	926	922
49	575	1282	955	950
50	590	1319	984	978
51	642	1334	1016	1008
52	687	1350	1045	1039
53	731	1365	1078	1069
54	761	1388	1113	1099
55	778	1424	1146	1130
56	833	1434	1171	1159
57	868	1443	1198	1187
58	906	1455	1228	1216
59	943	1476	1258	1245
60	965	1497	1289	1273
61	1020	1507	1314	1301
62	1081	1516	1338	1328
63	1134	1530	1365	1355
64	1170	1543	1391	1382
65	1199	1565	1416	1409
66	1261	1579	1438	1434
67	1316	1595	1461	1458
68	1360	1624	1487	1483
69	1383	1657	1515	1507
70	1400	1684	1536	1532
71	1425	1708	1554	1553
72	1441	1746	1572	1575
73	1450	1798	1591	1597
74	1459	1862	1607	1618
75	1469	1935	1624	1640
76	1487	1976	1642	1662
77	1497	2033	1660	1684
78	1507	2085	1677	1705
79	1517	2149	1693	1727
80	1523	2217	1710	1749
81	1545	2263	1727	1770
82	1563	2321	1744	1790
83	1576	2369	1761	1811
84	1586	2421	1776	1831
85	1593	2468	1792	1852
86	1613	2523	1807	1873
87	1633	2546	1824	1894
88	1651	2587	1839	1915
89	1664	2659	1857	1937
90	1674	2738	1874	1958
91	1704	2757	1887	1978
92	1727	2783	1900	1998
93	1745	2811	1912	2018
94	1763	2863	1927	2038
95	1775	2906	1944	2058
96	1833	3018	1967	2108
97	1877	3158	1992	2158
98	1896	3312	2035	2207
99	1913	3410	2081	2257
100	1924	3557	2126	2307
101	2026	3730	2394	2518
102	2068	4007	2628	2729
103	2111	4337	2823	2940
104	2151	4745	3027	3152
105	2188	5228	3206	3363
106	2399	5384	3467	3606
107	2500	5532	3763	3849
108	2592	5743	4037	4092
109	2687	5985	4308	4335
110	2770	6295	4548	4578
111	2974	6412	4756	4767
112	3143	6537	4985	4956
113	3311	6678	5193	5146
114	3439	6874	5429	5335
115	3567	7183	5613	5525
116	3865	7264	5887	5770
117	4091	7389	6166	6015
118	4316	7527	6406	6260
119	4508	7716	6672	6505
120	4663	8069	6938	6750
121	5279	8119	7123	6977
122	5839	8165	7306	7204
123	6349	8209	7516	7431
124	6752	8280	7735	7658
125	7064	8426	7967	7885
126	7404	8450	8088	8029
127	7738	8476	8209	8174
128	8072	8514	8330	8318
129	8330	8588	8457	8463
130	8413	8859	8593	8608
131	8477	8945	8686	8693
132	8515	9089	8776	8779
133	8542	9260	8855	8865
134	8565	9451	8931	8951
135	8588	9647	9009	9036
136	8694	9671	9084	9116
137	8761	9701	9176	9195
138	8821	9748	9274	9274
139	8861	9827	9359	9353
140	8900	9932	9444	9433
141	9066	9959	9516	9512
142	9210	9982	9600	9592
143	9316	10026	9678	9672
144	9405	10083	9768	9752
145	9476	10168	9860	9832
146	9531	10182	9895	9862
147	9570	10203	9926	9893
148	9597	10227	9954	9923
149	9620	10257	9977	9954
150	9644	10298	9999	9984
151	9670	10315	10019	10005
152	9697	10336	10039	10027
153	9715	10352	10055	10048
154	9729	10386	10075	10070
155	9746	10424	10095	10091
156	9780	10443	10116	10113
157	9815	10462	10136	10135
158	9840	10496	10158	10157
159	9855	10536	10178	10179
160	9870	10570	10199	10202
161	9909	10587	10220	10223
162	9933	10616	10241	10244
163	9960	10652	10262	10266
164	9982	10692	10280	10287
165	9999	10716	10301	10308
166	10033	10744	10321	10329
167	10065	10772	10342	10350
168	10098	10790	10362	10371
169	10118	10810	10381	10393
170	10135	10839	10401	10414
171	10182	10862	10420	10434
172	10227	10891	10436	10455
173	10261	10912	10454	10476
174	10283	10930	10473	10497
175	10302	10960	10495	10518
176	10332	10977	10511	10537
177	10360	10993	10528	10557
178	10386	11009	10543	10576
179	10404	11034	10563	10596
180	10422	11051	10585	10616
181	10622	12161	11202	11263
182	10693	13671	11787	11910
183	10764	15207	12376	12557
184	10830	16708	12957	13204
185	10897	18245	13541	13851
186	11577	18469	14202	14489
187	11879	18761	14891	15127
188	12163	19141	15780	15764
189	12373	19814	16609	16402
190	12608	20719	17422	17040
191	14139	20818	18050	17776
192	15679	20935	18706	18512
193	17062	21072	19337	19248
194	18120	21262	20045	19983
195	18985	21614	20868	20719
196	20164	21723	21188	21121
197	21025	21937	21538	21523
198	21257	22776	21894	21924
199	21380	23953	22193	22326
200	21469	25182	22494	22728
