"name","group","element","units","context","S477901","S477911","S477923","S477932","S477941","S477904","S477913","S477921","S477931","S477942","S477908","S477915","S477926","S477935","S477900","S477910","S477920","S477930","S477940","S477902","S477912","S477922","S477933","S477943","S477903","S477916","S477924","S477934","S477944","S477905","S477914","S477925","S477936","S477906","S477917","S477929","S477938","S477907","S477918","S477928","S477939","S477909","S477919","S477927","S477937"
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,37.7,136.2,316,420.7,536,88,154.7,301.4,405.5,549.5,105.7,167.1,330.7,459.2,12.2,123.5,267.5,392,529.3,0.2,141,279.3,438,566.9,25.2,201,345.5,450.8,582.5,46,183.2,350.5,487,62.3,215.5,380,493,74.5,236.6,369.4,513.5,118.2,252,353,474.8
Thickness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,477901,477911,477923,477932,477941,477904,477913,477921,477931,477942,477908,477915,477926,477935,477900,477910,477920,477930,477940,477902,477912,477922,477933,477943,477903,477916,477924,477934,477944,477905,477914,477925,477936,477906,477917,477929,477938,477907,477918,477928,477939,477909,477919,477927,477937
AP1,Calibrated radiocarbon years BP,,,,--/339/--,--/1303/--,--/3346/--,--/4706/--,--/6348/--,--/817/--,--/1496/--,--/3166/--,--/4501/--,--/6550/--,--/993/--,--/1628/--,--/3529/--,--/5237/--,--/108/--,--/1172/--,--/2759/--,--/4321/--,--/6248/--,--/2/--,--/1352/--,--/2899/--,--/4942/--,--/6814/--,--/225/--,--/1997/--,--/3717/--,--/5120/--,--/7053/--,--/416/--,--/1801/--,--/3780/--,--/5631/--,--/570/--,--/2158/--,--/4162/--,--/5718/--,--/686/--,--/2398/--,--/4024/--,--/6015/--,--/1118/--,--/2576/--,--/3812/--,--/5457/--
Acacia,TRSH,pollen,NISP,,1,,1,,1,,1,,,1,,,,,,,1,1,,,,1,,,,,,,,2,,,,,,,,1,,,,,,1,
Acalypha,UPHE,pollen,NISP,,,,,2,,,,,,,,,2,,,,,,,,,,3,,,,,,,1,,1,,1,,,2,,,,1,,,,
Achyranthes-type (A. aspera),UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,
Adansonia digitata,TRSH,pollen,NISP,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adenia venenata-type,TRSH,pollen,NISP,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerva-type (A. lanata),UPHE,pollen,NISP,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,2,1,1,,,,,,2,,,,,,,
Aeschynomene baumii-type,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1
Aidia-type (A. micrantha),TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
