"name","group","element","units","context","S478869","S478879","S478889","S478899","S478909","S478919","S478930","S478940","S478860","S478870","S478880","S478890","S478900","S478911","S478921","S478931","S478941","S478865","S478876","S478885","S478895","S478905","S478915","S478925","S478936","S478947","S478867","S478877","S478887","S478898","S478908","S478918","S478928","S478938","S478943","S478862","S478871","S478881","S478891","S478901","S478912","S478922","S478932","S478942","S478864","S478874","S478884","S478894","S478906","S478916","S478926","S478935","S478946","S478861","S478873","S478882","S478892","S478902","S478910","S478920","S478929","S478939","S478863","S478872","S478883","S478893","S478903","S478913","S478923","S478933","S478944","S478868","S478878","S478888","S478897","S478904","S478914","S478924","S478934","S478945","S478866","S478875","S478886","S478896","S478907","S478917","S478927","S478937","S478948"
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,73.5,185,306.5,403,515,622.5,715,823.5,2,90,196,295.5,412,535,645,734.5,833,45.5,153.5,252,360,470,577,676.5,782.5,886,64,164,273.5,390,504,613,702,799,852.5,24,101.5,206.5,317,425,525.5,654.5,744,842.5,36,132.5,241,347,481,590,686,773,876.5,6,120,217,328,436,545,635,725,811,12,110.5,228,338.5,447.5,555,661,754,862,83,175,284.5,377,459,567.5,670,763,872,55,143,263,369,492,600,692.5,792,893
Thickness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,478869,478879,478889,478899,478909,478919,478930,478940,478860,478870,478880,478890,478900,478911,478921,478931,478941,478865,478876,478885,478895,478905,478915,478925,478936,478947,478867,478877,478887,478898,478908,478918,478928,478938,478943,478862,478871,478881,478891,478901,478912,478922,478932,478942,478864,478874,478884,478894,478906,478916,478926,478935,478946,478861,478873,478882,478892,478902,478910,478920,478929,478939,478863,478872,478883,478893,478903,478913,478923,478933,478944,478868,478878,478888,478897,478904,478914,478924,478934,478945,478866,478875,478886,478896,478907,478917,478927,478937,478948
Calibrated age (1),Calibrated radiocarbon years BP,,,,--/1178.804/--,--/1735.252/--,--/2242.548/--,--/3641.561/--,--/5643.54/--,--/7882.027/--,--/9721.659/--,--/12200.59/--,--/247.8519/--,--/1273.261/--,--/1784.371/--,--/2197.053/--,--/3800.488/--,--/6004.34/--,--/8382.74/--,--/10035.39/--,--/12318.61/--,--/959.963/--,--/1594.591/--,--/2017.138/--,--/2964.745/--,--/4831.74/--,--/6869.475/--,--/9083.738/--,--/10807.67/--,--/12977.02/--,--/1124.42/--,--/1641.478/--,--/2106.062/--,--/3412/--,--/5445.1/--,--/7670.615/--,--/9512.502/--,--/11138.66/--,--/12560.86/--,--/608/--,--/1339.094/--,--/1828.952/--,--/2323.68/--,--/4030.049/--,--/5832.96/--,--/8594.152/--,--/10188.24/--,--/12436.63/--,--/804.4445/--,--/1500.818/--,--/1971.643/--,--/2770.935/--,--/5030.18/--,--/7158.775/--,--/9255.078/--,--/10654.82/--,--/12859/--,--/313.3333/--,--/1445/--,--/1872.379/--,--/2487.673/--,--/4224.292/--,--/6184.74/--,--/8160.201/--,--/9882.549/--,--/11855.91/--,--/411.5555/--,--/1390.616/--,--/1917.875/--,--/2644.212/--,--/4427.366/--,--/6379.889/--,--/8738.803/--,--/10349.13/--,--/12678.87/--,--/1233.188/--,--/1690.598/--,--/2151.557/--,--/3218.189/--,--/4633.3/--,--/6658.063/--,--/8939.088/--,--/10493.93/--,--/12803.1/--,--/1072.899/--,--/1547.704/--,--/2062.634/--,--/3098.922/--,--/5228.62/--,--/7381.314/--,--/9359.657/--,--/10960.51/--,--/13063.98/--
Calibrated age (2),Calibrated radiocarbon years BP,,,,--/1190.859/--,--/1731.248/--,--/2279.438/--,--/3665.496/--,--/5684.143/--,--/7913.535/--,--/9750.132/--,--/12210.31/--,--/230.8333/--,--/1278.022/--,--/1781.129/--,--/2229.842/--,--/3840.301/--,--/6023.243/--,--/8423.916/--,--/10048.75/--,--/12330.24/--,--/977.5833/--,--/1588.409/--,--/2033.711/--,--/2980.843/--,--/4921.167/--,--/6881.432/--,--/9138.449/--,--/10783.8/--,--/12999.32/--,--/1140.674/--,--/1636.022/--,--/2130.649/--,--/3413/--,--/5497.638/--,--/7698.041/--,--/9551.055/--,--/11106.89/--,--/12576.41/--,--/608.5/--,--/1338.772/--,--/1828.561/--,--/2361.418/--,--/4092.797/--,--/5862.17/--,--/8639.41/--,--/10194.22/--,--/12450.16/--,--/814.5/--,--/1493.182/--,--/1984.114/--,--/2793.575/--,--/5107.672/--,--/7176.318/--,--/9306.038/--,--/10638.32/--,--/12879.39/--,--/299.5/--,--/1436.5/--,--/1875.904/--,--/2519.876/--,--/4306.447/--,--/6192.792/--,--/8197.08/--,--/9903.267/--,--/11853.97/--,--/402.5/--,--/1386.315/--,--/1925.5/--,--/2671.131/--,--/4529.809/--,--/6382.393/--,--/8786.854/--,--/10347.36/--,--/12696.34/--,--/1241.043/--,--/1685.902/--,--/2180.246/--,--/3225.732/--,--/4734.663/--,--/6665.938/--,--/8991.006/--,--/10485.18/--,--/12822.58/--,--/1093.13/--,--/1540.796/--,--/2083.307/--,--/3110.49/--,--/5294.178/--,--/7403.154/--,--/9405.576/--,--/10929.28/--,--/13087.68/--
APD default,Radiocarbon years BP,,,,--/1271.255/--,--/1803.359/--,--/2287.246/--,--/3366.829/--,--/4959.83/--,--/6999.641/--,--/8658.263/--,--/10389.13/--,--/222.6/--,--/1365.197/--,--/1848.604/--,--/2243.632/--,--/3490.634/--,--/5251.43/--,--/7477.414/--,--/8904.491/--,--/10494.33/--,--/1034.073/--,--/1673.792/--,--/2071.158/--,--/2845.647/--,--/4303.73/--,--/6033.477/--,--/8146.297/--,--/9510.593/--,--/11081.24/--,--/1217.168/--,--/1716.981/--,--/2156.404/--,--/3188/--,--/4799.45/--,--/6797.914/--,--/8494.11/--,--/9751/--,--/10710.27/--,--/633/--,--/1430.672/--,--/1890.754/--,--/2354.941/--,--/3669.463/--,--/5112.92/--,--/7679.141/--,--/9024.449/--,--/10599.53/--,--/856.8546/--,--/1587.415/--,--/2027.544/--,--/2697.294/--,--/4464.11/--,--/6309.523/--,--/8292.076/--,--/9390.636/--,--/10976.04/--,--/297.2182/--,--/1536/--,--/1932.386/--,--/2480.471/--,--/3820.781/--,--/5397.23/--,--/7265.07/--,--/8784.534/--,--/10159/--,--/409.1454/--,--/1481.912/--,--/1976/--,--/2600.294/--,--/3978.976/--,--/5566.32/--,--/7817.164/--,--/9150.721/--,--/10815.47/--,--/1325.343/--,--/1762.226/--,--/2200.018/--,--/3039.647/--,--/4143.35/--,--/5831.75/--,--/8008.273/--,--/9264.364/--,--/10926.21/--,--/1165.927/--,--/1630.604/--,--/2114.772/--,--/2948.353/--,--/4624.49/--,--/6521.867/--,--/8374.152/--,--/9630.551/--,--/11158.76/--
Acacia,TRSH,pollen,NISP,,2,1,,,,,,1,,,,1,,,,,,2,1,,1,,1,,,,,,1,2,,,,,,1,,,,,,,,,,1,,,,,,,,,1,,,,,,,,1,1,,,,1,,,,,1,,2,,,,,,,2,,,,,,,
Acalypha cf. A. crenata,UPHE,pollen,NISP,,,2,,8,2,,,,,2,1,2,6,3,,,,,1,2,8,4,7,,,,,,,8,,4,,,,,,,3,6,1,,,,1,,1,4,3,6,2,,,,,1,,,3,3,,,,,1,6,1,4,,,,5,,1,4,3,3,4,,,,,2,5,2,,,,
